tag,gamma,val_ppl,val_loss,train_ppl,drift_slope_per_layer,bandwidth,H0,HL,rho_12,p_12,rho_23,p_23,decision,frac_a_par_negative,mean_ratio_apar_aperp,permutation_z
gamma0p00,0.0,113.01,4.727456,,0.611081467072169,0.9737945506774965,3.7188384532928467,19.677474975585938,1.0185256004333496,0.0007133033471013736,0.9932107329368591,0.06359749455021074,C,1.0,2.229968547821045,3.904285377598124
gamma0p10,0.1,91.33,4.514497,,-0.12392513304948807,0.2645550037568436,18.020803451538086,2.8522872924804688,1.0105236768722534,0.002180561675294091,0.9991211295127869,0.5282734377491558,C,0.9992389649923896,2.1296255588531494,3.6678265861481543
gamma0p30,0.3,87.06,4.466646,,-0.17557170937458674,0.287511072326869,25.981517791748047,-3.8799524307250977,1.0124672651290894,0.005349433394773871,0.9953616857528687,0.06912704554305082,C,1.0,2.012805938720703,3.7984999242684143
gamma0p85,0.85,93.93,4.542546,,-0.2117723246415456,0.3347763224682537,46.512516021728516,-24.01264190673828,0.9996204972267151,0.7132053972946077,0.9875875115394592,1.528609751289922e-05,C,1.0,2.1249332427978516,5.240905727398575
gamma2p00,2.0,103.82,4.642614,,-0.3237370252609253,0.5289093910123381,92.6629409790039,-136.5465850830078,1.004834532737732,0.08791542766447243,0.9954386949539185,0.14687726645113655,C,1.0,2.054914712905884,3.283759026814173
gamma5p00,5.0,121.89,4.803103,,-0.23729618787765502,0.38619446867632723,227.8985137939453,-193.62664794921875,0.9972561001777649,0.38324604540184737,0.9959903359413147,0.3462132775130198,C,1.0,2.28182315826416,2.250351971135391
