tag,gamma,val_ppl,val_loss,train_ppl,drift_slope_per_layer,bandwidth,H0,HL,rho_12,p_12,rho_23,p_23,decision,frac_a_par_negative,mean_ratio_apar_aperp,permutation_z
gamma0p00,0.0,201.65,5.3065,83.00492969927376,9.728999837239583,17.32420023668103,0.3552137315273285,33.70762634277344,0.9061238169670105,4.9185894801011586e-11,0.9315091967582703,5.7273349795685514e-08,C,0.9665144596651446,4.063977241516113,3.1825615340778612
gamma0p10,0.1,166.3,5.1138,80.9312476663464,-1.070055357615153,6.277809617332511,2.5913074016571045,-11.30360221862793,0.9767051339149475,0.0018394015878019764,0.9538449048995972,2.0430510537862308e-07,C,0.9809741248097412,3.5283596515655518,1.9585158993120855
gamma0p30,0.3,144.06,4.9702,71.07246568573719,-1.0061666011810302,11.346372829610834,4.957420825958252,4.689510345458984,0.9604980945587158,1.3619567448380283e-09,0.9836190342903137,8.313846588049763e-05,C,0.987062404870624,2.9337880611419678,1.9406446133275252
gamma0p85,0.85,203.0,5.3132,76.85342220787803,-0.8889820655186971,4.968976664586835,35.99189376831055,190.12081909179688,0.9607416391372681,6.448435675591258e-07,0.9638285636901855,1.536348680864397e-07,C,0.9817351598173516,4.549537181854248,2.1654046268251426
gamma2p00,2.0,215.33,5.3722,81.28812972082861,-1.9636074344317118,5.289922450121917,85.32539367675781,-422.33709716796875,0.9619351625442505,3.724162646158384e-06,0.9673659205436707,6.209538853054513e-06,C,0.9794520547945206,3.624626636505127,1.0267223170067026
gamma5p00,5.0,202.16,5.3091,111.9217537601597,-1.2380998452504477,2.069692244506605,71.07270812988281,-563.300537109375,0.9423118233680725,9.287784260721769e-08,0.9565611481666565,1.1070874914400226e-06,C,0.9657534246575342,4.50590705871582,3.548395871436101
